clean_sentence,noisy_sentence,error_type
"আদালতে চিন্ময়ের পক্ষে আইনজীবী অপূর্ব কুমার ভট্টাচার্য শুনানি করেন, সঙ্গে ছিলেন আইনজীবী জয়া ভট্টাচার্য, অনুপ কুমার সাহা, মিন্টু কুমার মন্ডল প্রমুখ।","আদালতে চিন্ময়ের পক্ষে আইনজীবী অপূর্ব কুমার ভট্টাচার্য শুনানি করেন, সঙ্গে ছিলেন আইনজীবী জয়া ভট্টাচার্য, অনুপ কুমার সাহা, মিন্টু কু মার মন্ডল প্রমুখ।",split
"আদালতে চিন্ময়ের পক্ষে আইনজীবী অপূর্ব কুমার ভট্টাচার্য শুনানি করেন, সঙ্গে ছিলেন আইনজীবী জয়া ভট্টাচার্য, অনুপ কুমার সাহা, মিন্টু কুমার মন্ডল প্রমুখ।","আদালতে চিন্ময়ের পক্ষে আইনজীবী অপূর্ব কুমার ভট্টাচার্য শুনানি করেন, সঙ্গে ছিলেন আইনজীবী জয়া ভট্টাচার্য, অনুপ কুমার সাহা, মিন্টুকুমার মন্ডল প্রমুখ।",run_on
"তবে রিক্রুটিং এজেন্সিগুলো বলছেন, বাড়তির ধারা আগামী বছর থেকে আর না-ও থাকতে পারে।","তবে রিক্রুটিং এজেণ্সিগুলো বলছেন, বাড়তির ধারা আগামী বছর থেকে আর না-ও থাকতে পারে।",phonetic
"তবে রিক্রুটিং এজেন্সিগুলো বলছেন, বাড়তির ধারা আগামী বছর থেকে আর না-ও থাকতে পারে।","তবে রিক্রুটিং এজেন্সিগুলো বলছেন, বাঢ়তির ধারা আগামী বছর থেকে আর না-ও থাকতে পারে।",visual
"তবে রিক্রুটিং এজেন্সিগুলো বলছেন, বাড়তির ধারা আগামী বছর থেকে আর না-ও থাকতে পারে।","তবে রিক্রুটিং এজেম্সিগুলো বলছেন, বাড়তির ধারা আগামী বছর থেকে আর না-ও থাকতে পারে।",keyboard
"তবে রিক্রুটিং এজেন্সিগুলো বলছেন, বাড়তির ধারা আগামী বছর থেকে আর না-ও থাকতে পারে।","তবে রিক্রুটিং এজেন্সিগুলো বলছে ন, বাড়তির ধারা আগামী বছর থেকে আর না-ও থাকতে পারে।",split
"তবে রিক্রুটিং এজেন্সিগুলো বলছেন, বাড়তির ধারা আগামী বছর থেকে আর না-ও থাকতে পারে।","তবে রিক্রুটিংএজেন্সিগুলো বলছেন, বাড়তির ধারা আগামী বছর থেকে আর না-ও থাকতে পারে।",run_on
"বিশ্ববিদ্যালয়ের শিক্ষকদের আরও বেশি বই পড়ার আহ্বান জানিয়ে তিনি বলেন, একজন শিক্ষক হিসেবে তিনি গ্লানি বোধ করেন।","বিশ্ববিদ্যালয়ের শিক্ষকদের আরও বেশি বই পড়ার আহ্বান জানিয়ে তিণি বলেন, একজন শিক্ষক হিসেবে তিনি গ্লানি বোধ করেন।",phonetic
"বিশ্ববিদ্যালয়ের শিক্ষকদের আরও বেশি বই পড়ার আহ্বান জানিয়ে তিনি বলেন, একজন শিক্ষক হিসেবে তিনি গ্লানি বোধ করেন।","বিশ্ববিদ্যালয়ের শিক্ষকদের আরও বেশি বই পড়ার আহ্বান জানিয়ে তিনি ভলেন, একজন শিক্ষক হিসেবে তিনি গ্লানি বোধ করেন।",visual
"বিশ্ববিদ্যালয়ের শিক্ষকদের আরও বেশি বই পড়ার আহ্বান জানিয়ে তিনি বলেন, একজন শিক্ষক হিসেবে তিনি গ্লানি বোধ করেন।","বিশ্ববিদ্যালয়ের শিক্ষকদের আরও বেশি বই পড়ার আহ্বান জানিয়ে তিনি বলেন, একজন লিক্ষক হিসেবে তিনি গ্লানি বোধ করেন।",keyboard
"বিশ্ববিদ্যালয়ের শিক্ষকদের আরও বেশি বই পড়ার আহ্বান জানিয়ে তিনি বলেন, একজন শিক্ষক হিসেবে তিনি গ্লানি বোধ করেন।","বিশ্ব বিদ্যালয়ের শিক্ষকদের আরও বেশি বই পড়ার আহ্বান জানিয়ে তিনি বলেন, একজন শিক্ষক হিসেবে তিনি গ্লানি বোধ করেন।",split
"বিশ্ববিদ্যালয়ের শিক্ষকদের আরও বেশি বই পড়ার আহ্বান জানিয়ে তিনি বলেন, একজন শিক্ষক হিসেবে তিনি গ্লানি বোধ করেন।","বিশ্ববিদ্যালয়ের শিক্ষকদের আরও বেশি বই পড়ার আহ্বান জানিয়ে তিনিবলেন, একজন শিক্ষক হিসেবে তিনি গ্লানি বোধ করেন।",run_on
"শুধু আমতলা নয়, রাজধানীর বিভিন্ন এলাকায় গ্যাসের সংকটে রান্নায় সমস্যা হচ্ছে।","শুধু আমতলা নয়, রাযধানীর বিভিন্ন এলাকায় গ্যাসের সংকটে রান্নায় সমস্যা হচ্ছে।",phonetic
"শুধু আমতলা নয়, রাজধানীর বিভিন্ন এলাকায় গ্যাসের সংকটে রান্নায় সমস্যা হচ্ছে।","শুদু আমতলা নয়, রাজধানীর বিভিন্ন এলাকায় গ্যাসের সংকটে রান্নায় সমস্যা হচ্ছে।",visual
"শুধু আমতলা নয়, রাজধানীর বিভিন্ন এলাকায় গ্যাসের সংকটে রান্নায় সমস্যা হচ্ছে।","শুধু আমতলা নয়, রাজধানীর বিভিন্ন এলাকায় গ্যাসের সংকটে রান্নায় সমস্যা হচ্ছি।",keyboard
"শুধু আমতলা নয়, রাজধানীর বিভিন্ন এলাকায় গ্যাসের সংকটে রান্নায় সমস্যা হচ্ছে।","শুধু আমতলা নয়, রাজধানীর বিভিন্ন এলাকায় গ্যাসের সংকটে রা ন্নায় সমস্যা হচ্ছে।",split
"শুধু আমতলা নয়, রাজধানীর বিভিন্ন এলাকায় গ্যাসের সংকটে রান্নায় সমস্যা হচ্ছে।","শুধু আমতলানয়, রাজধানীর বিভিন্ন এলাকায় গ্যাসের সংকটে রান্নায় সমস্যা হচ্ছে।",run_on
"কিন্তু ইনফ্লুয়েঞ্জা প্রতিরোধে স্বাস্থ্যবিধি মেনে চলা, মাস্ক পরা, নিয়মিত হাত ধোয়া—এসব গুরুত্বপূর্ণ।","কিণ্তু ইনফ্লুয়েঞ্জা প্রতিরোধে স্বাস্থ্যবিধি মেনে চলা, মাস্ক পরা, নিয়মিত হাত ধোয়া—এসব গুরুত্বপূর্ণ।",phonetic
"কিন্তু ইনফ্লুয়েঞ্জা প্রতিরোধে স্বাস্থ্যবিধি মেনে চলা, মাস্ক পরা, নিয়মিত হাত ধোয়া—এসব গুরুত্বপূর্ণ।","কিন্তু ইনফ্লুয়েঞ্জা প্রতিরোধে স্বাস্থ্যবিধি মেনে চলা, মাস্ক পরা, নিয়মিট হাত ধোয়া—এসব গুরুত্বপূর্ণ।",visual
"কিন্তু ইনফ্লুয়েঞ্জা প্রতিরোধে স্বাস্থ্যবিধি মেনে চলা, মাস্ক পরা, নিয়মিত হাত ধোয়া—এসব গুরুত্বপূর্ণ।","কিন্তু ইনফ্লুয়েঞ্জা প্রতিরোধে ল্বাস্থ্যবিধি মেনে চলা, মাস্ক পরা, নিয়মিত হাত ধোয়া—এসব গুরুত্বপূর্ণ।",keyboard
"কিন্তু ইনফ্লুয়েঞ্জা প্রতিরোধে স্বাস্থ্যবিধি মেনে চলা, মাস্ক পরা, নিয়মিত হাত ধোয়া—এসব গুরুত্বপূর্ণ।","কিন্তু ইনফ্লুয়েঞ্জা প্রতিরোধে স্বাস্থ্যবিধি মেনে চলা, মাস্ক পরা, নিয়মিত হাত ধো য়া—এসব গুরুত্বপূর্ণ।",split
"কিন্তু ইনফ্লুয়েঞ্জা প্রতিরোধে স্বাস্থ্যবিধি মেনে চলা, মাস্ক পরা, নিয়মিত হাত ধোয়া—এসব গুরুত্বপূর্ণ।","কিন্তু ইনফ্লুয়েঞ্জা প্রতিরোধে স্বাস্থ্যবিধি মেনে চলা, মাস্ক পরা, নিয়মিত হাতধোয়া—এসব গুরুত্বপূর্ণ।",run_on
"তিনি ‘আত্মহত্যা’ করেছিলেন, নাকি তাঁকে ‘হত্যা’ করা হয়েছিল—এই প্রশ্নের মীমাংসা গত তিন দশকে হয়নি।","তিনি ‘আত্মহত্যা’ করেছিলেন, নাকি তাঁকে ‘হত্যা’ করা হয়েছিল—এই প্রশ্নের মীমাংসা গত তিণ দশকে হয়নি।",phonetic
"তিনি ‘আত্মহত্যা’ করেছিলেন, নাকি তাঁকে ‘হত্যা’ করা হয়েছিল—এই প্রশ্নের মীমাংসা গত তিন দশকে হয়নি।","তিনি ‘আত্মহট্যা’ করেছিলেন, নাকি তাঁকে ‘হত্যা’ করা হয়েছিল—এই প্রশ্নের মীমাংসা গত তিন দশকে হয়নি।",visual
"তিনি ‘আত্মহত্যা’ করেছিলেন, নাকি তাঁকে ‘হত্যা’ করা হয়েছিল—এই প্রশ্নের মীমাংসা গত তিন দশকে হয়নি।","তিনি ‘আত্মহত্যা’ করেছিলেন, নাকি তাঁখে ‘হত্যা’ করা হয়েছিল—এই প্রশ্নের মীমাংসা গত তিন দশকে হয়নি।",keyboard
"তিনি ‘আত্মহত্যা’ করেছিলেন, নাকি তাঁকে ‘হত্যা’ করা হয়েছিল—এই প্রশ্নের মীমাংসা গত তিন দশকে হয়নি।","তিনি ‘আত্মহত্যা’ করেছিলেন, নাকি তাঁকে ‘হত্যা’ করা হয়েছিল—এই প্রশ্নে র মীমাংসা গত তিন দশকে হয়নি।",split
"তিনি ‘আত্মহত্যা’ করেছিলেন, নাকি তাঁকে ‘হত্যা’ করা হয়েছিল—এই প্রশ্নের মীমাংসা গত তিন দশকে হয়নি।","তিনি ‘আত্মহত্যা’ করেছিলেন, নাকি তাঁকে ‘হত্যা’ করা হয়েছিল—এই প্রশ্নের মীমাংসা গততিন দশকে হয়নি।",run_on
তাই এর ফল দিয়ে সারা দেশের প্রতিটি এলাকার সেরোটাইপ পরিস্থিতি নির্ধারণ করা যাবে না।,তাই এর ফল দিয়ে সারা দেশের প্রতিটি এলাকার সেরোটাইপ পরিস্থিতি নির্ধারণ করা যাবে ণা।,phonetic
তাই এর ফল দিয়ে সারা দেশের প্রতিটি এলাকার সেরোটাইপ পরিস্থিতি নির্ধারণ করা যাবে না।,তাই এর ফল দিয়ে সারা দেশের প্রতিটি এলাকার সেরোটাইফ পরিস্থিতি নির্ধারণ করা যাবে না।,visual
তাই এর ফল দিয়ে সারা দেশের প্রতিটি এলাকার সেরোটাইপ পরিস্থিতি নির্ধারণ করা যাবে না।,তাই এর ফল দিয়ে সারে দেশের প্রতিটি এলাকার সেরোটাইপ পরিস্থিতি নির্ধারণ করা যাবে না।,keyboard
তাই এর ফল দিয়ে সারা দেশের প্রতিটি এলাকার সেরোটাইপ পরিস্থিতি নির্ধারণ করা যাবে না।,তাই এর ফল দিয়ে সারা দেশের প্রতিটি এলাকা র সেরোটাইপ পরিস্থিতি নির্ধারণ করা যাবে না।,split
তাই এর ফল দিয়ে সারা দেশের প্রতিটি এলাকার সেরোটাইপ পরিস্থিতি নির্ধারণ করা যাবে না।,তাই এর ফল দিয়ে সারা দেশের প্রতিটি এলাকার সেরোটাইপ পরিস্থিতিনির্ধারণ করা যাবে না।,run_on
"আব্দুল হাসিব চৌধুরী: সাবেক সহ-উপাচার্য, বাংলাদেশ প্রকৌশল বিশ্ববিদ্যালয় (বুয়েট)","আব্দুল হাসিব চৌধুরী: সাবেক সহ-ঊপাচার্য, বাংলাদেশ প্রকৌশল বিশ্ববিদ্যালয় (বুয়েট)",phonetic
"আব্দুল হাসিব চৌধুরী: সাবেক সহ-উপাচার্য, বাংলাদেশ প্রকৌশল বিশ্ববিদ্যালয় (বুয়েট)","আব্দুল হাসিব চৌধুরী: সাবেক সহ-উপাচার্য, বাংলাদেশ প্রকৌশল বিশ্ববিদ্যালয় (ভুয়েট)",visual
"আব্দুল হাসিব চৌধুরী: সাবেক সহ-উপাচার্য, বাংলাদেশ প্রকৌশল বিশ্ববিদ্যালয় (বুয়েট)","আব্দুল হাসিব চৌধুরী: সাবেক সহ-উপাচির্য, বাংলাদেশ প্রকৌশল বিশ্ববিদ্যালয় (বুয়েট)",keyboard
"আব্দুল হাসিব চৌধুরী: সাবেক সহ-উপাচার্য, বাংলাদেশ প্রকৌশল বিশ্ববিদ্যালয় (বুয়েট)","আব্দুল হাসিব চৌধুরী: সাবেক সহ-উপাচার্য, বাংলা দেশ প্রকৌশল বিশ্ববিদ্যালয় (বুয়েট)",split
"আব্দুল হাসিব চৌধুরী: সাবেক সহ-উপাচার্য, বাংলাদেশ প্রকৌশল বিশ্ববিদ্যালয় (বুয়েট)","আব্দুল হাসিব চৌধুরী: সাবেকসহ-উপাচার্য, বাংলাদেশ প্রকৌশল বিশ্ববিদ্যালয় (বুয়েট)",run_on
’ শিক্ষার্থীদের বিভিন্ন প্রদর্শনী পরিদর্শন করেন ব্র্যাক ইউনিভার্সিটির ট্রেজারার আরিফুল ইসলাম।,’ শিক্ষার্থীদের বিভিণ্ন প্রদর্শনী পরিদর্শন করেন ব্র্যাক ইউনিভার্সিটির ট্রেজারার আরিফুল ইসলাম।,phonetic
’ শিক্ষার্থীদের বিভিন্ন প্রদর্শনী পরিদর্শন করেন ব্র্যাক ইউনিভার্সিটির ট্রেজারার আরিফুল ইসলাম।,’ শিক্ষার্থীদের বিভিন্ন প্রদর্শনী পরিদর্শন করেন ব্র্যাক ইউনিভার্সিতির ট্রেজারার আরিফুল ইসলাম।,visual
’ শিক্ষার্থীদের বিভিন্ন প্রদর্শনী পরিদর্শন করেন ব্র্যাক ইউনিভার্সিটির ট্রেজারার আরিফুল ইসলাম।,’ শিক্ষার্থীদের বিভিন্ন প্রদড্শনী পরিদর্শন করেন ব্র্যাক ইউনিভার্সিটির ট্রেজারার আরিফুল ইসলাম।,keyboard
’ শিক্ষার্থীদের বিভিন্ন প্রদর্শনী পরিদর্শন করেন ব্র্যাক ইউনিভার্সিটির ট্রেজারার আরিফুল ইসলাম।,’ শিক্ষার্থীদের বিভিন্ন প্রদর্শনী পরিদর্শন করেন ব্র্যাক ইউনিভার্সিটির ট্রেজারার আরিফু ল ইসলাম।,split
’ শিক্ষার্থীদের বিভিন্ন প্রদর্শনী পরিদর্শন করেন ব্র্যাক ইউনিভার্সিটির ট্রেজারার আরিফুল ইসলাম।,’ শিক্ষার্থীদের বিভিন্ন প্রদর্শনীপরিদর্শন করেন ব্র্যাক ইউনিভার্সিটির ট্রেজারার আরিফুল ইসলাম।,run_on
বিশ্বসাহিত্য কেন্দ্রের লক্ষ্যের সঙ্গে দায়িত্বশীল করপোরেট প্রতিষ্ঠান হিসেবে নিজেদের সম্পৃক্ত রেখেছে বিকাশ।,বিশ্বসাহিত্য কেন্দ্রের লক্ষ্যের সঙ্গে দায়িত্বসীল করপোরেট প্রতিষ্ঠান হিসেবে নিজেদের সম্পৃক্ত রেখেছে বিকাশ।,phonetic
বিশ্বসাহিত্য কেন্দ্রের লক্ষ্যের সঙ্গে দায়িত্বশীল করপোরেট প্রতিষ্ঠান হিসেবে নিজেদের সম্পৃক্ত রেখেছে বিকাশ।,বিশ্বসাহিত্য কেন্দ্রের লক্ষ্যের সঙ্গে দায়িত্বশীল করফোরেট প্রতিষ্ঠান হিসেবে নিজেদের সম্পৃক্ত রেখেছে বিকাশ।,visual
বিশ্বসাহিত্য কেন্দ্রের লক্ষ্যের সঙ্গে দায়িত্বশীল করপোরেট প্রতিষ্ঠান হিসেবে নিজেদের সম্পৃক্ত রেখেছে বিকাশ।,বিশ্বসাহিত্য কেন্দ্রের লক্ষ্যের সঙ্গে দায়িত্বশীল করপোরেট প্রতিষ্ঠান হিসেবে নিজেদের সম্পৃক্ট রেখেছে বিকাশ।,keyboard
বিশ্বসাহিত্য কেন্দ্রের লক্ষ্যের সঙ্গে দায়িত্বশীল করপোরেট প্রতিষ্ঠান হিসেবে নিজেদের সম্পৃক্ত রেখেছে বিকাশ।,বিশ্বসাহিত্য কেন্দ্রের লক্ষ্যের সঙ্গে দায়িত্বশীল করপোরেট প্রতিষ্ঠান হিসেবে নিজেদের সম্পৃক্ত রেখে ছে বিকাশ।,split
বিশ্বসাহিত্য কেন্দ্রের লক্ষ্যের সঙ্গে দায়িত্বশীল করপোরেট প্রতিষ্ঠান হিসেবে নিজেদের সম্পৃক্ত রেখেছে বিকাশ।,বিশ্বসাহিত্য কেন্দ্রের লক্ষ্যের সঙ্গে দায়িত্বশীল করপোরেট প্রতিষ্ঠানহিসেবে নিজেদের সম্পৃক্ত রেখেছে বিকাশ।,run_on
এ ক্ষেত্রে আগামী বছরেও খোলাবাজার থেকে বেশি দামে এলএনজি কিনতে হতে পারে।,এ ক্ষেত্রে আগামী বছরেও খোলাবাযার থেকে বেশি দামে এলএনজি কিনতে হতে পারে।,phonetic
এ ক্ষেত্রে আগামী বছরেও খোলাবাজার থেকে বেশি দামে এলএনজি কিনতে হতে পারে।,এ ক্ষেত্রে আগামী বছরেও খোলাবাজার থেকে বেশি দামে এলএনজি কিনতে হতে ফারে।,visual
এ ক্ষেত্রে আগামী বছরেও খোলাবাজার থেকে বেশি দামে এলএনজি কিনতে হতে পারে।,এ ক্ষেত্তে আগামী বছরেও খোলাবাজার থেকে বেশি দামে এলএনজি কিনতে হতে পারে।,keyboard
এ ক্ষেত্রে আগামী বছরেও খোলাবাজার থেকে বেশি দামে এলএনজি কিনতে হতে পারে।,এ ক্ষেত্রে আগা মী বছরেও খোলাবাজার থেকে বেশি দামে এলএনজি কিনতে হতে পারে।,split
এ ক্ষেত্রে আগামী বছরেও খোলাবাজার থেকে বেশি দামে এলএনজি কিনতে হতে পারে।,এ ক্ষেত্রে আগামী বছরেও খোলাবাজার থেকে বেশি দামে এলএনজিকিনতে হতে পারে।,run_on
"হঠাৎ খেয়াল হলো, আমার সঙ্গে তো কেউ নেই।","হঠাৎ খেয়াল হলো, আমার সঙ্গে তো কেউ নেঈ।",phonetic
"হঠাৎ খেয়াল হলো, আমার সঙ্গে তো কেউ নেই।","হঠাৎ খেয়াল হলো, আমার সঙ্গে টো কেউ নেই।",visual
"হঠাৎ খেয়াল হলো, আমার সঙ্গে তো কেউ নেই।","হঠাৎ খেয়াল হলো, আমার সঙ্গে তো কেউ নেউ।",keyboard
"হঠাৎ খেয়াল হলো, আমার সঙ্গে তো কেউ নেই।","হঠাৎ খে য়াল হলো, আমার সঙ্গে তো কেউ নেই।",split
"হঠাৎ খেয়াল হলো, আমার সঙ্গে তো কেউ নেই।","হঠাৎখেয়াল হলো, আমার সঙ্গে তো কেউ নেই।",run_on
"আজ ৬ সেপ্টেম্বর, রোববার।","আজ ৬ শেপ্টেম্বর, রোববার।",phonetic
"আজ ৬ সেপ্টেম্বর, রোববার।","আজ ৬ সেফ্টেম্বর, রোববার।",visual
"আজ ৬ সেপ্টেম্বর, রোববার।","আজ ৬ সেপ্টেম্বত, রোববার।",keyboard
"আজ ৬ সেপ্টেম্বর, রোববার।","আজ ৬ সেপ্টেম্বর, রো ববার।",split
"আজ ৬ সেপ্টেম্বর, রোববার।","আজ ৬ সেপ্টেম্বর, রোববার।",none
এরপর সে ক্যাশ রেজিস্টার থেকে টাকা নিয়ে পালিয়ে যায়।,এরপর সে ক্যাশ রেজিশ্টার থেকে টাকা নিয়ে পালিয়ে যায়।,phonetic
এরপর সে ক্যাশ রেজিস্টার থেকে টাকা নিয়ে পালিয়ে যায়।,এরফর সে ক্যাশ রেজিস্টার থেকে টাকা নিয়ে পালিয়ে যায়।,visual
এরপর সে ক্যাশ রেজিস্টার থেকে টাকা নিয়ে পালিয়ে যায়।,এরপর সে ক্যাশ রেজিস্টার থেকে টাকা নিয়ে পালেয়ে যায়।,keyboard
এরপর সে ক্যাশ রেজিস্টার থেকে টাকা নিয়ে পালিয়ে যায়।,এরপর সে ক্যাশ রেজিস্টা র থেকে টাকা নিয়ে পালিয়ে যায়।,split
এরপর সে ক্যাশ রেজিস্টার থেকে টাকা নিয়ে পালিয়ে যায়।,এরপর সে ক্যাশ রেজিস্টার থেকে টাকানিয়ে পালিয়ে যায়।,run_on
"মোহাম্মদ আলী জিন্নাহর ছবি রাখার বিষয়ে ফাতিমা তাসনিম জুমা বলেন, জিন্নাহর ছবির সঙ্গে একটি ক্যাপশন রয়েছে এবং ঢাকা বিশ্ববিদ্যালয়ে তাঁর দেওয়া একটি বক্তব্যের সূত্রে ছবিটি রাখা হয়েছে।","মোহাম্মদ আলী জিন্নাহর ছবি রাখার বিষয়ে ফাতিমা তাসনিম জুমা বলেন, জিন্নাহর ছবির সঙ্গে একটি ক্যাপশন রয়েছে এবং ঢাকা বিশ্ববিদ্যালয়ে তাঁর দেওয়া একটি বক্তব্যের সূত্রে ছবিটি রাখা হজ়েছে।",phonetic
"মোহাম্মদ আলী জিন্নাহর ছবি রাখার বিষয়ে ফাতিমা তাসনিম জুমা বলেন, জিন্নাহর ছবির সঙ্গে একটি ক্যাপশন রয়েছে এবং ঢাকা বিশ্ববিদ্যালয়ে তাঁর দেওয়া একটি বক্তব্যের সূত্রে ছবিটি রাখা হয়েছে।","মোহাম্মদ আলী জিন্নাহর ছবি রাখার বিষয়ে ফাতিমা তাসনিম জুমা বলেন, জিন্নাহর ছবির সঙ্গে একটি ক্যাপশন রয়েছে এবং ঢাকা বিশ্ববিদ্যালয়ে তাঁর ধেওয়া একটি বক্তব্যের সূত্রে ছবিটি রাখা হয়েছে।",visual
"মোহাম্মদ আলী জিন্নাহর ছবি রাখার বিষয়ে ফাতিমা তাসনিম জুমা বলেন, জিন্নাহর ছবির সঙ্গে একটি ক্যাপশন রয়েছে এবং ঢাকা বিশ্ববিদ্যালয়ে তাঁর দেওয়া একটি বক্তব্যের সূত্রে ছবিটি রাখা হয়েছে।","মোহাম্মদ আলী জিন্নাহর ছবি রাখার বিষয়ে ফাতিমা তাসনিম জুমা বলেন, জিন্নাহর ছবির সঙ্গে একটি ক্যাপশন রয়েছে এবং ঢাকা বিশ্ববিদ্যালয়ে তাঁর দেওয়া একটি বক্তব্যির সূত্রে ছবিটি রাখা হয়েছে।",keyboard
"মোহাম্মদ আলী জিন্নাহর ছবি রাখার বিষয়ে ফাতিমা তাসনিম জুমা বলেন, জিন্নাহর ছবির সঙ্গে একটি ক্যাপশন রয়েছে এবং ঢাকা বিশ্ববিদ্যালয়ে তাঁর দেওয়া একটি বক্তব্যের সূত্রে ছবিটি রাখা হয়েছে।","মোহাম্মদ আলী জিন্নাহর ছবি রাখার বিষয়ে ফাতিমা তাসনিম জুমা বলেন, জিন্নাহর ছবির সঙ্গে একটি ক্যা পশন রয়েছে এবং ঢাকা বিশ্ববিদ্যালয়ে তাঁর দেওয়া একটি বক্তব্যের সূত্রে ছবিটি রাখা হয়েছে।",split
"মোহাম্মদ আলী জিন্নাহর ছবি রাখার বিষয়ে ফাতিমা তাসনিম জুমা বলেন, জিন্নাহর ছবির সঙ্গে একটি ক্যাপশন রয়েছে এবং ঢাকা বিশ্ববিদ্যালয়ে তাঁর দেওয়া একটি বক্তব্যের সূত্রে ছবিটি রাখা হয়েছে।","মোহাম্মদ আলী জিন্নাহর ছবিরাখার বিষয়ে ফাতিমা তাসনিম জুমা বলেন, জিন্নাহর ছবির সঙ্গে একটি ক্যাপশন রয়েছে এবং ঢাকা বিশ্ববিদ্যালয়ে তাঁর দেওয়া একটি বক্তব্যের সূত্রে ছবিটি রাখা হয়েছে।",run_on
